IMPORTANTE,cod_universidad,des_universidad,curso_academico,cod_campus,des_campus,cod_centro,des_centro,des_naturaleza_centro,des_tipo_estudio,cod_titulacion,des_titulacion,cod_comunidad_centro_sec,des_comunidad_centro_sec,cod_provincia_centro_sec,des_provincia_centro_sec,cod_municipio_centro_sec,des_municipio_centro_sec,lat_municipio_centro_sec,lon_municipio_centro_sec,cod_naturaleza_centro_sec,des_naturaleza_centro_sec,nota_admision,cod_pais_fin_estudio_acceso,des_pais_fin_estudio_acceso,lat_pais_fin_estudio_acceso,lon_pais_fin_estudio_acceso,cod_continente_fin_estudio_acceso,des_continente_fin_estudio_acceso,cod_agregacion_paises_fin_estudio_acceso,des_agregacion_paises_fin_estudio_acceso,des_estudio_acceso,des_especialidad_acceso,des_tipo_especialidad_acceso,des_ocupacion_estudiante,anio_fin_estudio_acceso,des_forma_admision,ind_accede_al_SUE_por_1a_vez,anio_acceso_SUE,ind_se_matricula_en_primero,ind_curso_adaptacion,anio_nacimiento,cod_pais_nacionalidad,des_pais_nacionalidad,lat_pais_nacionalidad,lon_pais_nacionalidad,cod_continente_nacionalidad,des_continente_nacionalidad,cod_agregacion_paises_nacionalidad,des_agregacion_paises_nacionalidad,cod_pais_residencia,des_pais_residencia,lat_pais_residencia,lon_pais_residencia,cod_continente_residencia,des_continente_residencia,cod_agregacion_paises_residencia,des_agregacion_paises_residencia,des_dedicacion,des_genero,des_familia_numerosa,des_nivel_estudios_madre,des_ocupacion_madre,des_nivel_estudios_padre,des_ocupacion_padre
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020-21,03602,Getafe,28041822,Facultad-de-Ciencias-Sociales-y-Juridicas-Getafe,Publico,Grado,2503790,GRADO-EN-EMPRESA-Y-TECNOLOGIA,,,,,,,,,,,,,,,,,,,,,,,,,Pruebas-de-Acceso-a-la-Universidad-EVAU-PAU-y-Pruebas-de-Acceso-anteriores,true,,true,true,2002,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,Tiempo-completo,Hombre,Familia-numerosa-general,Estudios-Superiores,Directores-y-gerentes,Estudios-Superiores,Tecnicos-y-profesionales-cientificos-e-intelectuales
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020-21,03602,Getafe,28041822,Facultad-de-Ciencias-Sociales-y-Juridicas-Getafe,Publico,Grado,2503790,GRADO-EN-EMPRESA-Y-TECNOLOGIA,,,,,,,,,,,13.875,,,,,,,,,,,,,,Pruebas-de-Acceso-a-la-Universidad-EVAU-PAU-y-Pruebas-de-Acceso-anteriores,true,,true,true,2002,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,Tiempo-completo,Hombre,No,Estudios-Superiores,Tecnicos-y-profesionales-de-apoyo,Estudios-Superiores,Tecnicos-y-profesionales-de-apoyo
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020-21,03602,Getafe,28041822,Facultad-de-Ciencias-Sociales-y-Juridicas-Getafe,Publico,Grado,2503790,GRADO-EN-EMPRESA-Y-TECNOLOGIA,,,,,,,,,,,13.392,,,,,,,,,,,,,,Pruebas-de-Acceso-a-la-Universidad-EVAU-PAU-y-Pruebas-de-Acceso-anteriores,true,,true,true,2002,862,Venezuela-Republica-Bolivariana-de,6.42375,-66.58973,019,Americas,419,America-Latina-y-el-Caribe,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,Tiempo-completo,Hombre,Familia-numerosa-general,Estudios-Superiores,Amos-de-casa,,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020-21,03602,Getafe,28041822,Facultad-de-Ciencias-Sociales-y-Juridicas-Getafe,Publico,Grado,2503790,GRADO-EN-EMPRESA-Y-TECNOLOGIA,,,,,,,,,,,13.107,,,,,,,,,,,,,,Pruebas-de-Acceso-a-la-Universidad-EVAU-PAU-y-Pruebas-de-Acceso-anteriores,true,,true,true,2002,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,Tiempo-completo,Hombre,Familia-numerosa-general,Estudios-Superiores,Amos-de-casa,Estudios-Superiores,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020-21,03602,Getafe,28041822,Facultad-de-Ciencias-Sociales-y-Juridicas-Getafe,Publico,Grado,2503790,GRADO-EN-EMPRESA-Y-TECNOLOGIA,,,,,,,,,,,12.87,,,,,,,,,,,,,,Pruebas-de-Acceso-a-la-Universidad-EVAU-PAU-y-Pruebas-de-Acceso-anteriores,true,,true,true,2001,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,Tiempo-completo,Hombre,No,Estudios-Superiores,Empleados-de-tipo-contable-y-administrativo,Estudios-Superiores,Directores-y-gerentes
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020-21,03602,Getafe,28041822,Facultad-de-Ciencias-Sociales-y-Juridicas-Getafe,Publico,Grado,2503790,GRADO-EN-EMPRESA-Y-TECNOLOGIA,,,,,,,,,,,12.849,,,,,,,,,,,,,,Pruebas-de-Acceso-a-la-Universidad-EVAU-PAU-y-Pruebas-de-Acceso-anteriores,true,,true,true,2002,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,Tiempo-completo,Hombre,No,Estudios-Superiores,Directores-y-gerentes,,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020-21,03602,Getafe,28041822,Facultad-de-Ciencias-Sociales-y-Juridicas-Getafe,Publico,Grado,2503790,GRADO-EN-EMPRESA-Y-TECNOLOGIA,,,,,,,,,,,10.964,,,,,,,,,,,,,,Pruebas-de-Acceso-a-la-Universidad-EVAU-PAU-y-Pruebas-de-Acceso-anteriores,true,,true,true,2002,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,Tiempo-completo,Hombre,No,Estudios-Superiores,Empleados-de-tipo-contable-y-administrativo,Estudios-Superiores,Directores-y-gerentes
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020-21,03602,Getafe,28041822,Facultad-de-Ciencias-Sociales-y-Juridicas-Getafe,Publico,Grado,2503790,GRADO-EN-EMPRESA-Y-TECNOLOGIA,,,,,,,,,,,13,,,,,,,,,,,,,,Pruebas-de-Acceso-a-la-Universidad-EVAU-PAU-y-Pruebas-de-Acceso-anteriores,true,,true,true,2000,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,Tiempo-completo,Hombre,Familia-numerosa-general,,,Estudios-Superiores,Directores-y-gerentes
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020-21,03602,Getafe,28041822,Facultad-de-Ciencias-Sociales-y-Juridicas-Getafe,Publico,Grado,2503790,GRADO-EN-EMPRESA-Y-TECNOLOGIA,,,,,,,,,,,12.791,,,,,,,,,,,,,,Pruebas-de-Acceso-a-la-Universidad-EVAU-PAU-y-Pruebas-de-Acceso-anteriores,true,,true,true,2002,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,Tiempo-completo,Hombre,No,Estudios-Superiores,Tecnicos-y-profesionales-cientificos-e-intelectuales,Estudios-Superiores,Directores-y-gerentes
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020-21,03602,Getafe,28041822,Facultad-de-Ciencias-Sociales-y-Juridicas-Getafe,Publico,Grado,2503790,GRADO-EN-EMPRESA-Y-TECNOLOGIA,,,,,,,,,,,13.425,,,,,,,,,,,,,,Pruebas-de-Acceso-a-la-Universidad-EVAU-PAU-y-Pruebas-de-Acceso-anteriores,true,,true,true,2002,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,Tiempo-completo,Hombre,No,Estudios-Secundarios,Empleados-de-tipo-contable-y-administrativo,Estudios-Superiores,Directores-y-gerentes
