curso_academico,cod_universidad,des_universidad,des_tipo_estudio,des_tipo_unidad_responsable,cod_unidad_responsable,des_unidad_responsable,cod_titulacion,des_titulacion,des_rama,cod_interuniversitario,des_interuniversitario,des_rol_coordinacion,des_impartida,anio_inicio,des_situacion_actual,des_grado_presencialidad,des_idioma_extranjero,precio_credito_1,precio_credito_2,precio_credito_3,precio_credito_4,precio_credito_5,precio_tutela,num_creditos_necesarios,num_creditos_ofertados
2021-22,010,Universidad-Complutense-de-Madrid,Grado,Centro,28027126,Facultad-de-Bellas-Artes,2500811,GRADO-EN-BELLAS-ARTES,Artes-y-Humanidades,0,No-es-Interuniversitario,No-Aplica,true,2009,Activo,Presencial,No-se-oferta-en-idioma-extranjero,21.39,40.02,82.3,113.71,,,240,360
2021-22,010,Universidad-Complutense-de-Madrid,Grado,Centro,28026821,Facultad-de-Optica-y-Optometria,2500791,GRADO-EN-OPTICA-Y-OPTOMETRIA,Ciencias-de-la-Salud,0,No-es-Interuniversitario,No-Aplica,true,2009,Activo,Presencial,No-se-oferta-en-idioma-extranjero,26.14,48.03,98.75,136.44,,,240,312
2021-22,010,Universidad-Complutense-de-Madrid,Grado,Centro,28027849,Facultad-de-Ciencias-Matematicas,2500693,GRADO-EN-INGENIERIA-MATEMATICA,Ingenieria-y-Arquitectura,0,No-es-Interuniversitario,No-Aplica,true,2009,Activo,Presencial,No-se-oferta-en-idioma-extranjero,24.55,45.25,92.86,128.57,,,240,342
2021-22,010,Universidad-Complutense-de-Madrid,Grado,Centro,28027849,Facultad-de-Ciencias-Matematicas,2500691,GRADO-EN-MATEMATICAS,Ciencias,0,No-es-Interuniversitario,No-Aplica,true,2009,Activo,Presencial,No-se-oferta-en-idioma-extranjero,21.39,40.02,82.3,113.71,,,240,426
2021-22,010,Universidad-Complutense-de-Madrid,Grado,Centro,28027849,Facultad-de-Ciencias-Matematicas,2500833,GRADO-EN-MATEMATICAS-Y-ESTADISTICA,Ciencias,0,No-es-Interuniversitario,No-Aplica,true,2009,Activo,Presencial,No-se-oferta-en-idioma-extranjero,21.39,40.02,82.3,113.71,,,240,624
2021-22,010,Universidad-Complutense-de-Madrid,Grado,Centro,28027035,Facultad-de-Medicina,2500812,GRADO-EN-MEDICINA,Ciencias-de-la-Salud,0,No-es-Interuniversitario,No-Aplica,true,2009,Activo,Presencial,No-se-oferta-en-idioma-extranjero,26.14,48.03,98.75,136.44,,,360,585
2021-22,010,Universidad-Complutense-de-Madrid,Grado,Centro,28029044,Facultad-de-Psicologia,2500310,GRADO-EN-LOGOPEDIA,Ciencias-de-la-Salud,0,No-es-Interuniversitario,No-Aplica,true,2009,Activo,Presencial,No-se-oferta-en-idioma-extranjero,21.39,40.02,82.3,113.71,,,240,606
2021-22,010,Universidad-Complutense-de-Madrid,Grado,Centro,28042383,Facultad-de-Ciencias-de-la-Documentacion,2500915,GRADO-EN-INFORMACION-Y-DOCUMENTACION,Ciencias-Sociales-y-Juridicas,0,No-es-Interuniversitario,No-Aplica,true,2009,Activo,Presencial,No-se-oferta-en-idioma-extranjero,21.39,40.02,82.3,113.71,,,240,492
2021-22,010,Universidad-Complutense-de-Madrid,Grado,Centro,28027758,Facultad-de-Ciencias-Fisicas,2500689,GRADO-EN-FISICA,Ciencias,0,No-es-Interuniversitario,No-Aplica,true,2009,Activo,Presencial,No-se-oferta-en-idioma-extranjero,24.55,45.25,92.86,128.57,,,240,438
2021-22,010,Universidad-Complutense-de-Madrid,Grado,Centro,28027734,Facultad-de-Ciencias-Geologicas,2500690,GRADO-EN-GEOLOGIA,Ciencias,0,No-es-Interuniversitario,No-Aplica,true,2009,Activo,Presencial,No-se-oferta-en-idioma-extranjero,26.14,48.03,98.75,136.44,,,240,297
2021-22,010,Universidad-Complutense-de-Madrid,Grado,Centro,28026997,Facultad-de-Ciencias-Politicas-y-Sociologia,2501209,GRADO-EN-GESTION-Y-ADMINISTRACION-PUBLICA-PLAN-2018,Ciencias-Sociales-y-Juridicas,0,No-es-Interuniversitario,No-Aplica,true,2010,Activo,Presencial,No-se-oferta-en-idioma-extranjero,21.39,40.02,82.3,113.71,,,240,600
2021-22,010,Universidad-Complutense-de-Madrid,Grado,Centro,28027722,Facultad-de-Ciencias-Biologicas,2500487,GRADO-EN-BIOLOGIA-PLAN-2018,Ciencias,0,No-es-Interuniversitario,No-Aplica,true,2009,Activo,Presencial,No-se-oferta-en-idioma-extranjero,26.14,48.03,98.75,136.44,,,240,360
2021-22,010,Universidad-Complutense-de-Madrid,Grado,Centro,28027011,Facultad-de-Farmacia,2501382,GRADO-EN-FARMACIA-2019,Ciencias-de-la-Salud,0,No-es-Interuniversitario,No-Aplica,true,2010,Activo,Presencial,No-se-oferta-en-idioma-extranjero,26.14,48.03,98.75,136.44,,,300,531
2021-22,010,Universidad-Complutense-de-Madrid,Grado,Centro,28042899,Facultad-de-Informatica,2501384,GRADO-EN-INGENIERIA-INFORMATICA-2019,Ingenieria-y-Arquitectura,0,No-es-Interuniversitario,No-Aplica,true,2010,Activo,Presencial,No-se-oferta-en-idioma-extranjero,24.55,45.25,92.86,128.57,,,240,762
2021-22,010,Universidad-Complutense-de-Madrid,Grado,Centro,28042899,Facultad-de-Informatica,2501383,GRADO-EN-INGENIERIA-DE-COMPUTADORES-2019,Ingenieria-y-Arquitectura,0,No-es-Interuniversitario,No-Aplica,true,2010,Activo,Presencial,No-se-oferta-en-idioma-extranjero,24.55,45.25,92.86,128.57,,,240,684
2021-22,010,Universidad-Complutense-de-Madrid,Grado,Centro,28042899,Facultad-de-Informatica,2501385,GRADO-EN-INGENIERIA-DEL-SOFTWARE-2019,Ingenieria-y-Arquitectura,0,No-es-Interuniversitario,No-Aplica,true,2010,Activo,Presencial,No-se-oferta-en-idioma-extranjero,24.55,45.25,92.86,128.57,,,240,675
2021-22,010,Universidad-Complutense-de-Madrid,Grado,Centro,28042899,Facultad-de-Informatica,2503208,GRADO-EN-DESARROLLO-DE-VIDEOJUEGOS-2019,Ingenieria-y-Arquitectura,0,No-es-Interuniversitario,No-Aplica,true,2015,Activo,Presencial,No-se-oferta-en-idioma-extranjero,24.55,45.25,92.86,128.57,,,240,366
2021-22,010,Universidad-Complutense-de-Madrid,Grado,Centro,28027710,Facultad-de-Filologia,2502086,GRADO-EN-LINGUISTICA-Y-LENGUAS-APLICADAS-2019,Artes-y-Humanidades,0,No-es-Interuniversitario,No-Aplica,true,2011,Activo,Presencial,No-se-oferta-en-idioma-extranjero,21.39,40.02,82.3,113.71,,,240,1950
2021-22,010,Universidad-Complutense-de-Madrid,Grado,Centro,28027761,Facultad-de-Filosofia,2504018,GRADO-EN-CIENCIAS-DE-LAS-RELIGIONES,Artes-y-Humanidades,0,No-es-Interuniversitario,No-Aplica,true,2021,Activo,Presencial,No-se-oferta-en-idioma-extranjero,21.39,40.02,82.3,113.71,,,240,60
2021-22,010,Universidad-Complutense-de-Madrid,Grado,Centro,28027001,Facultad-de-Derecho,2500828,GRADO-EN-DERECHO-2020,Ciencias-Sociales-y-Juridicas,0,No-es-Interuniversitario,No-Aplica,true,2010,Activo,Presencial,No-se-oferta-en-idioma-extranjero,21.39,40.02,82.3,113.71,,,240,756
2021-22,010,Universidad-Complutense-de-Madrid,Grado,Centro,28027001,Facultad-de-Derecho,2500916,GRADO-EN-RELACIONES-LABORALES-Y-RECURSOS-HUMANOS-2020,Ciencias-Sociales-y-Juridicas,0,No-es-Interuniversitario,No-Aplica,true,2009,Activo,Presencial,No-se-oferta-en-idioma-extranjero,21.39,40.02,82.3,113.71,,,240,426
2021-22,010,Universidad-Complutense-de-Madrid,Grado,Centro,28029101,Facultad-de-Enfermeria-Fisioterapia-y-Podologia,2500309,GRADO-EN-ENFERMERIA-2020,Ciencias-de-la-Salud,0,No-es-Interuniversitario,No-Aplica,true,2009,Activo,Presencial,No-se-oferta-en-idioma-extranjero,26.14,48.03,98.75,136.44,,,240,393
2021-22,010,Universidad-Complutense-de-Madrid,Grado,Centro,28029101,Facultad-de-Enfermeria-Fisioterapia-y-Podologia,2501453,GRADO-EN-PODOLOGIA-2020,Ciencias-de-la-Salud,0,No-es-Interuniversitario,No-Aplica,true,2010,Activo,Presencial,No-se-oferta-en-idioma-extranjero,26.14,48.03,98.75,136.44,,,240,375
